sku,nombre,categoria,precio,stock,stock_minimo
SKU00001,Microfono Epson,Audio,1784.02,1,25
SKU00002,Ultrabook Lenovo,Electronica,18402.00,17,25
SKU00003,USB Drive Acer,Almacenamiento,144.43,2,10,inf,N/A
SKU00004,Teclado TP-Link,Accesorios,1633.46,None,50
SKU00005,RAM Lenovo,Componentes,2043.38,53,30
SKU00006,Audifonos Gaming Logitech,Audio,2102.79,43,15
SKU00007,Teclado Anker,Accesorios,752.58,11,25
SKU00008,Pantalla Portatil Seagate,Electronica,2202.94,16,15
SKU00009,Notebook Samsung,Electronica,11720.57,18,50
SKU00010,HDD Anker,Almacenamiento,603.24,7,15
SKU00011,Stylus Samsung,Accesorios,821.63,9,5
SKU00012,Teclado Mecanico Asus,Accesorios,3773.26,67,25
SKU00013,Mouse Canon,Accesorios,424.16,13,10
SKU00014,Chromebook Razer,Electronica,11663.48,8,5
SKU00015,Tarjeta Video Lenovo,Componentes,10152.94,80,30
SKU00016,Fuente Poder Gigabyte,Componentes,2196.04,18,30
SKU00017,Barra Sonido Seagate,Audio,3860.97,65,30
SKU00018,Mouse Gaming Seagate,Accesorios,1360.56,136,50
SKU00019,Audifonos Kingston,Audio,525.42,59,30
SKU00020,HDD Xiaomi,Almacenamiento,1674.06,39,20
SKU00021,Fuente Poder Apple,Componentes,1625.91,20,15
SKU00022,MacBook Xiaomi,Electronica,24029.79,35,30
SKU00023,Teclado Mecanico Seagate,Accesorios,4291.81,5,5
SKU00024,RAM Canon,Componentes,2791.14,45,50
SKU00025,HDD Externo Xiaomi,Almacenamiento,2652.42,11,5
SKU00026,HDD Externo WD,Almacenamiento,3462.41,28,15
SKU00027,Tarjeta Video Gigabyte,Componentes,10783.11,26,20
SKU00028,Microfono USB Sony,Audio,1330.69,8,12..5
SKU00029,MacBook Gigabyte,Electronica,19656.22,22,10
SKU00030,Ultrabook WD,Electronica,12753.45,75,30
SKU00031,Cable Ethernet,Redes,80.83,17,15
SKU00032,Touchpad MSI,Accesorios,855.50,10,5
SKU00033,Tarjeta Video Apple,Componentes,25116.51,18,30
SKU00034,Ultrabook WD,Electronica,17509.76,45,15
SKU00035,SSD Externo Sony,Almacenamiento,4039.46,4,5
SKU00036,HDD HyperX,Almacenamiento,2119.52,43,15
SKU00037,RAM Asus,Componentes,2103.04,sin_dato,15
SKU00038,Monitor Gaming Logitech,Electronica,5520.67,7,5
SKU00039,Audifonos Bluetooth SanDisk,Audio,803.13,120,50
SKU00040,Pantalla Portatil,Electronica,1632.88,4,5
SKU00041,Teclado Mecanico Samsung,Accesorios,4429.27,35,15
SKU00042,Laptop LG,Electronica,25554.47,29,25
SKU00043,HDD Externo Apple,Almacenamiento,1365.26,66,50
SKU00044,Laptop Sony,Electronica,16273.92,51,25,sin_dato
SKU00045,Teclado LG,Accesorios,978.80,3,30
SKU00046,Fuente Poder Acer,Componentes,2545.56,4,5
SKU00047,Notebook Xiaomi,Electronica,10580.33,33,30
SKU00048,MicroSD LG,Almacenamiento,477.92,7,30
SKU00049,Audifonos WD,Audio,183.19,17,25
